region_name;year;criminality;salary;unemployee
Кемеровская область-Кузбасс;2010;2,374897411;18027,8;4,548971508
Кемеровская область-Кузбасс;2011;2,444411225;20478,8;4,13357271
Кемеровская область-Кузбасс;2012;2,385825003;23403,2;3,599708589
Кемеровская область-Кузбасс;2013;2,307961148;25325,8;3,116613062
Кемеровская область-Кузбасс;2014;2,271084468;26809;3,223262001
Кемеровская область-Кузбасс;2015;2,303523782;28263;3,877178226
Кемеровская область-Кузбасс;2016;2,152928147;30115;3,970021027
Кемеровская область-Кузбасс;2017;2,111804461;32648;3,518205977
Кемеровская область-Кузбасс;2018;1,977563599;32613;3,014081233
Кемеровская область-Кузбасс;2019;2,016762595;35368;2,654371346
Кировская область;2010;1,598617845;13292,6;4,719909343
Кировская область;2011;1,520546959;14579;4,407591185
Кировская область;2012;1,604010593;16932,3;3,686904748
Кировская область;2013;1,655661622;19291,1;2,908890702
Кировская область;2014;1,69182779;20978;2,627101211
Кировская область;2015;1,985762285;22118;2,785817016
Кировская область;2016;1,680082869;23404;2,815818888
Кировская область;2017;1,642224502;25215;2,767540143
Кировская область;2018;1,593287171;27932;2,674706282
Кировская область;2019;1,507983792;30213;2,400779638
Костромская область;2010;1,480292385;13525,8;3,201750129
Костромская область;2011;1,394113342;14890,5;2,724228178
Костромская область;2012;1,264663034;16895,5;2,537806625
Костромская область;2013;1,163998315;19156,5;2,593032432
Костромская область;2014;1,220801692;20867;2,219140083
Костромская область;2015;1,426514734;21796;2,643049684
Костромская область;2016;1,350868877;22989;2,787917587
Костромская область;2017;1,370985226;24554;2,686375321
Костромская область;2018;1,244580631;27724;2,240682434
Костромская область;2019;1,299649786;31421;1,979616732
Краснодарский край;2010;1,26023772;16329,9;3,315556356
Краснодарский край;2011;1,262090252;18416;2,914233748
Краснодарский край;2012;1,242792504;21409,2;2,765255245
Краснодарский край;2013;1,195049361;24062,6;2,981428395
Краснодарский край;2014;1,27024365;25777;2,740107806
Краснодарский край;2015;1,368580227;26767;2,962871241
Краснодарский край;2016;1,290223287;28734;2,877467309
Краснодарский край;2017;1,211021943;30343;2,825001942
Краснодарский край;2018;1,210844201;33846;2,583886778
Краснодарский край;2019;1,264392827;36133;2,386499955
